ID_empleado,Nombre,Apellido,Correo,Teléfono,fecha_contracion,sueldo,ID_departamento
100,Steven,King,King@gmail.com,515.123.4567,1987-06-17,24000,90
101,Neena,Kochhar,NKOCHHAR@HOTMAIL.COM,515.123.4568,1987-06-18,17000,90
102,Lex,De Haan,LDEHAAN@HOTMAIL.COM,515.123.4569,1987-06-19,17000,90
103,Alexander,Hunold,AHUNOLD@HOTMAIL.COM,590.423.4567,1987-06-20,9000,60
104,Bruce,Ernst,Ernst@gmail.com,590.423.4568,1987-06-21,6000,60
105,David,Austin,VPATABAL@HOTMAIL.COM,590.423.4569,1987-06-22,4800,60
106,Valli,Pataballa,DFAVIET@HOTMAIL.COM,590.423.4560,1987-06-23,4800,60
107,Diana,Lorentz,Lorentz@gmail.com,590.423.5567,1987-06-24,4200,60
108,Nancy,Greenberg,Greenberg@gmail.com,515.124.4569,1987-06-25,12000,100
109,Daniel,Faviet,DRAPHEAL@HOTMAIL.COM,515.124.4169,1987-06-26,9000,100
110,John,Chen,Chen@gmail.com,515.124.4269,1987-06-27,8200,100
111,Ismael,Sciarra,SBAIDA@HOTMAIL.COM,515.124.4369,1987-06-28,7700,100
112,Jose Manuel,Urman,STOBIAS@HOTMAIL.COM,515.124.4469,1987-06-29,7800,100
113,Luis,Popp,Popp@gmail.com,515.124.4567,1987-06-30,6900,100
114,Den,Raphaely,AFRIPP@HOTMAIL.COM,515.127.4561,1987-07-01,11000,30
115,Alexander,Khoo,PKAUFLIN@HOTMAIL.COM,515.127.4562,1987-07-02,3100,30
116,Shelli,Baida,SVOLLMAN@HOTMAIL.COM,515.127.4563,1987-07-03,2900,30
117,Sigal,Tobias,JNAYER@HOTMAIL.COM,515.127.4564,1987-07-04,2800,30
118,Guy,Himuro,Himuro@gmail.com,515.127.4565,1987-07-05,2600,30
119,Karen,Colmenares,SMARKLE@HOTMAIL.COM,515.127.4566,1987-07-06,2500,30
120,Matthew,Weiss,Weiss@gmail.com,650.123.1234,1987-07-07,8000,50
121,Adam,Fripp,JAMRLOW@HOTMAIL.COM,650.123.2234,1987-07-08,8200,50
122,Payam,Kaufling,JMALLIN@HOTMAIL.COM,650.123.3234,1987-07-09,7900,50
123,Shanta,Vollman,HPHILTAN@HOTMAIL.COM,650.123.4234,1987-07-10,6500,50
124,Kevin,Mourgos,Mourgos@gmail.com,650.123.5234,1987-07-11,5800,50
125,Julia,Nayer,JPATEL@HOTMAIL.COM,650.124.1214,1987-07-12,3200,50
126,Irene,Mikkilineni,Mikkilineni@gmail.com,650.124.1224,1987-07-13,2700,50
127,James,Landry,CDAVIES@HOTMAIL.COM,650.124.1334,1987-07-14,2400,50
128,Steven,Markle,RMATOS@HOTMAIL.COM,650.124.1434,1987-07-15,2200,50
129,Laura,Bissot,Bissot@gmail.com,650.124.5234,1987-07-16,3300,50
130,Mozhe,Atkinson,KPARTNER@HOTMAIL.COM,650.124.6234,1987-07-17,2800,50
131,James,Marlow,AERRAZUR@HOTMAIL.COM,650.124.7234,1987-07-18,2500,50
132,TJ,Olson,Olson@gmail.com,650.124.8234,1987-07-19,2100,50
133,Jason,Mallin,PHALL@HOTMAIL.COM,650.127.1934,1987-07-20,3300,50
134,Michael,Rogers,Rogers@gmail.com,650.127.1834,1987-07-21,2900,50
135,Ki,Gee,Gee@gmail.com,650.127.1734,1987-07-22,2400,50
136,Hazel,Philtanker,AMCEWEN@HOTMAIL.COM,650.127.1634,1987-07-23,2200,50
